EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000360966,0,1,INITIAL_BUFFERING,Writing,45226
0.003467083,0,1,PLAY,InitialBuffering-Play,0
0.004156113,0,0,PLAY,StillPlaying,45226
0.279906034,0,1,PLAY,Writing,45226
0.811794996,0,2,PLAY,Writing,88783
1.640620947,1,3,PLAY,Writing,128503
2.699442148,2,4,PLAY,Writing,177437
3.837593079,3,5,PLAY,Writing,217761
4.005324125,4,4,PLAY,StillPlaying,45226
4.906901121,4,5,PLAY,Writing,255865
6.981452942,6,6,PLAY,Writing,323047
8.005047083,8,5,PLAY,StillPlaying,88783
9.606160164,9,6,PLAY,Writing,378355
12.00538802,12,5,PLAY,StillPlaying,128503
12.01121116,12,6,PLAY,Writing,378355
15.05372095,15,7,PLAY,Writing,509091
16.0053401,16,6,PLAY,StillPlaying,177437
18.11495209,18,7,PLAY,Writing,509091
20.00503397,20,6,PLAY,StillPlaying,217761
21.19412303,21,7,PLAY,Writing,509091
24.00504017,24,6,PLAY,StillPlaying,255865
24.78621697,24,7,PLAY,Writing,577751
28.00537014,28,6,PLAY,StillPlaying,323047
28.38392806,28,7,PLAY,Writing,577751
30.16546297,30,8,PLAY,Writing,577751
32.00505614,32,7,PLAY,StillPlaying,378355
32.51498199,32,8,PLAY,Writing,577751
35.57765698,35,9,PLAY,Writing,577751
36.00506401,36,8,PLAY,StillPlaying,378355
38.18835211,38,9,PLAY,Writing,577751
40.00539017,40,8,PLAY,StillPlaying,509091
40.95119405,40,9,PLAY,Writing,577751
44.00535107,44,8,PLAY,StillPlaying,509091
44.48263001,44,9,PLAY,Writing,577751
47.92430711,47,10,PLAY,Writing,577751
48.00513101,48,9,PLAY,StillPlaying,509091
49.96779394,49,10,PLAY,Writing,577751
52.00504303,52,9,PLAY,StillPlaying,577751
52.25322604,52,10,PLAY,Writing,577751
54.08900595,54,11,PLAY,Writing,577751
56.00510001,56,10,PLAY,StillPlaying,577751
59.31101012,59,11,PLAY,Writing,577751
60.00508213,60,10,PLAY,StillPlaying,577751
64.00504804,64,9,PLAY,StillPlaying,577751
64.77343798,64,10,PLAY,Writing,577751
68.00505805,68,9,PLAY,StillPlaying,577751
69.01622605,69,10,PLAY,Writing,782553
71.43555808,71,11,PLAY,Writing,577751
72.00505996,72,10,PLAY,StillPlaying,577751
76.00505114,76,9,PLAY,StillPlaying,577751
77.89146113,77,10,PLAY,Writing,577751
80.00504899,80,9,PLAY,StillPlaying,577751
81.24192405,81,10,PLAY,Writing,577751
84.00539994,84,9,PLAY,StillPlaying,577751
84.55856609,84,10,PLAY,Writing,577751
87.53026915,87,11,PLAY,Writing,577751
88.00528502,88,10,PLAY,StillPlaying,577751
92.00556707,92,9,PLAY,StillPlaying,577751
93.94143105,93,10,PLAY,Writing,577751
96.00504518,96,9,PLAY,StillPlaying,577751
97.46925497,97,10,PLAY,Writing,577751
100.005374,100,9,PLAY,StillPlaying,577751
100.9715381,100,10,PLAY,Writing,577751
104.0050621,104,9,PLAY,StillPlaying,577751
104.564719,104,10,PLAY,Writing,577751
107.516917,107,11,PLAY,Writing,577751
108.005415,108,10,PLAY,StillPlaying,782553
112.005069,112,9,PLAY,StillPlaying,577751
113.837549,113,10,PLAY,Writing,577751
116.0053391,116,9,PLAY,StillPlaying,577751
117.0831962,117,10,PLAY,Writing,577751
119.2213311,119,11,PLAY,Writing,577751
120.005352,120,10,PLAY,StillPlaying,577751
124.0050411,124,9,PLAY,StillPlaying,577751
125.3358932,125,10,PLAY,Writing,577751
128.0050402,128,9,PLAY,StillPlaying,577751
128.0283921,128,10,PLAY,Writing,577751
130.5107231,130,11,PLAY,Writing,577751
132.005332,132,10,PLAY,StillPlaying,577751
136.005105,136,9,PLAY,StillPlaying,577751
136.185204,136,10,PLAY,Writing,577751
139.554625,139,11,PLAY,Writing,577751
140.0051861,140,10,PLAY,StillPlaying,577751
144.0058022,144,9,PLAY,StillPlaying,577751
145.7645431,145,10,PLAY,Writing,577751
148.0050411,148,9,PLAY,StillPlaying,577751
149.2366331,149,10,PLAY,Writing,577751
151.320154,151,11,PLAY,Writing,577751
152.0050721,152,10,PLAY,StillPlaying,577751
156.005147,156,9,PLAY,StillPlaying,577751
157.3989031,157,10,PLAY,Writing,577751
160.0050511,160,9,PLAY,StillPlaying,577751
160.7504301,160,10,PLAY,Writing,782553
163.6175342,163,11,PLAY,Writing,577751
164.005398,164,10,PLAY,StillPlaying,577751
168.0050712,168,9,PLAY,StillPlaying,577751
169.8174851,169,10,PLAY,Writing,577751
172.00506,172,9,PLAY,StillPlaying,577751
173.2273171,173,10,PLAY,Writing,577751
176.0051889,176,9,PLAY,StillPlaying,577751
176.6482711,176,10,PLAY,Writing,577751
179.9367471,179,11,PLAY,Writing,577751
180.0048981,180,10,PLAY,StillPlaying,577751
184.0053031,184,9,PLAY,StillPlaying,577751
185.681813,185,10,PLAY,Writing,577751
188.0053401,188,9,PLAY,StillPlaying,577751
188.4928901,188,10,PLAY,Writing,577751
191.3254111,191,11,PLAY,Writing,577751
192.005321,192,10,PLAY,StillPlaying,577751
196.0050621,196,9,PLAY,StillPlaying,577751
197.3885741,197,10,PLAY,Writing,577751
200.0050671,200,9,PLAY,StillPlaying,782553
200.1281421,200,10,PLAY,Writing,577751
203.1763141,203,11,PLAY,Writing,577751
204.005127,204,10,PLAY,StillPlaying,577751
208.00542,208,9,PLAY,StillPlaying,577751
209.4967201,209,10,PLAY,Writing,577751
212.005054,212,9,PLAY,StillPlaying,577751
212.54264,212,10,PLAY,Writing,577751
215.798537,215,11,PLAY,Writing,577751
216.0052681,216,10,PLAY,StillPlaying,577751
220.005336,220,9,PLAY,StillPlaying,577751
221.713383,221,10,PLAY,Writing,577751
224.0053911,224,9,PLAY,StillPlaying,577751
224.519944,224,10,PLAY,Writing,577751
227.5886199,227,11,PLAY,Writing,577751
228.0054221,228,10,PLAY,StillPlaying,577751
232.005055,232,9,PLAY,StillPlaying,577751
233.6969411,233,10,PLAY,Writing,577751
236.0050771,236,9,PLAY,StillPlaying,577751
237.2871912,237,10,PLAY,Writing,577751
240.0050812,240,9,PLAY,StillPlaying,577751
240.5188181,240,10,PLAY,Writing,577751
243.6982901,243,11,PLAY,Writing,577751
244.00507,244,10,PLAY,StillPlaying,577751
248.005038,248,9,PLAY,StillPlaying,577751
249.3372002,249,10,PLAY,Writing,577751
251.718091,251,11,PLAY,Writing,577751
252.005363,252,10,PLAY,StillPlaying,577751
256.005055,256,9,PLAY,StillPlaying,577751
257.3926342,257,10,PLAY,Writing,577751
259.5344942,259,11,PLAY,Writing,782553
260.005074,260,10,PLAY,StillPlaying,577751
264.0053561,264,9,PLAY,StillPlaying,577751
265.1933961,265,10,PLAY,Writing,782553
267.4476011,267,11,PLAY,Writing,782553
268.005347,268,10,PLAY,StillPlaying,577751
272.0052631,272,9,PLAY,StillPlaying,577751
276.005053,276,8,PLAY,StillPlaying,577751
276.6138492,276,9,PLAY,Writing,1008699
280.005048,280,8,PLAY,StillPlaying,577751
281.3012002,281,9,PLAY,Writing,782553
284.005029,284,8,PLAY,StillPlaying,577751
285.2931621,285,9,PLAY,Writing,782553
288.005106,288,8,PLAY,StillPlaying,577751
289.3981001,289,9,PLAY,Writing,782553
292.005414,292,8,PLAY,StillPlaying,577751
293.658031,293,9,PLAY,Writing,782553
296.005054,296,8,PLAY,StillPlaying,577751
297.0404441,297,9,PLAY,Writing,577751
300.005044,300,8,PLAY,StillPlaying,782553
